#,البيت,النص
1,4,بيضاؤُهُ تلمعُ في غَبرائِها، كأنَّما كسَّرَ في أثنائِها
2,31,وَقَدِ ازْدَهَى الدِّيبَاجُ فِي رَوْضَاتِهِ خَضِلًا كَمَا جَلَتِ الرَّبِيعَ فُصُولُهُ
3,1,الصُّبْحُ أصبحَ والظّلا مُ كما تراه أحمُّ حالكْ
4,4,كما إِذا هي مُدت نحو ذي لَسن مُدّتْ إليك بقوال الأقاويل
5,40,فَكَأَنَّنِي بِالْمُلْكِ قَدْ عَقَدَ الْحُبَى وَزَهَا بِفَاخِرِ دِرْهَمٍ إِكْلِيلُهُ
6,41,فَكَأَنَّنِي بِكَ وَالْفُتُوحُ سَوَافِرٌ وَالسَّبْيُ قَدْ عَمَرَ الرُّبَى تَنْفِيلُهُ
7,41,وكل قبائلهم أتبعت كما أتبع العر ملحًا، وقارا
8,5,صادتْ فؤاديَ مِكسالٌ مُنعَّمةٌ - كالبدرِ حِين بدا – بيضاءُ مِعطار
9,8,مِثْلِ الكَثيبِ تَعَالَى في تَرَاكُمِهِ، مِثْلِ القَضيبِ تَثَنَّى في تَأَوُّدِهِ
10,11,خُرْسٌ إذَا نُودُوا كأنّ لمْ يعْلَموا أنَّ الكَلامَ لَهُمْ حَلالٌ مُطْلَقُ
11,7,عن حُبِّ أَحْوَى، أسِيلِ الخَدِّ أَبْيَضِهِ، ساجِي الجُفُونِ، كحيلِ الطَّرْفِ أَسْوَدِهِ
12,2,يَبْدُو إِنَاءُ الْمَاءِ فِيَّ كَعَابِدٍ فِي قِبْلَةِ الْمِحْرَابِ قَامَ يُنَاجِي
13,4,فَكَأَنَّنِي اسْتَقْرَيْتُ آثَارَ النَّدَى مِنْ كَفِّ مَوْلَانَا أَبِي الْحَجَّاجِ
14,20,أَيُّ مَجْدٍ أُحْكِمَتْ آياتُهُ فَهْيَ تُتْلَى مِثْلَمَا تُتْلَى السُّوَرْ
15,21,أَمُرِيدَ مِثْلَ مُحَمَّدٍ في عَصْرِنا لا تَبْلُنا بطِلابِ ما لا يُلْحَقُ
16,22,لَمْ يَخْلُقِ الرَّحْمَنُ مِثْلَ مُحَمَّدٍ أبَدًا وَظَنّي أنَّهُ لا يَخْلُقُ
17,2,حتَّى أتاني كِتابٌ مِنكَ، مُبتسِمًا عن كُلِّ لَفظٍ ومعنًىن أشبَهَ الدُّرَرا
18,29,يشق، الأحزة، سلافنا كما شقق الهاجري الدبارا
19,3,قالت لها ضاحكةً أُمُّها: أنتِ كَمِثْلِ الأَمَلِ الخائبِ
20,1,كما تَشاءُ فقُلْ لي لستُ مُنتَقِلًا لا تَخشَ مني نِسيانًا وَلا بَدَلا
21,1,كأنما النرجس في روضه إذا ثَنَتهُ الريحُ من قُرْبِ
22,3,في الساعدِ الأيمنِ خالٌ له مثلُ السويداءِ على القلبِ
23,1,هَواءٌ كَالهَوى حُسْنًا وَظَرْفا وَخَيْشٌ لَيْسَ يُتْرَكُ أنْ يَجِفَّا
24,29,يَدعُو الوُفُودَ لمالِهِ فكأنّمَا يَدْعُو عَلَيهِ فَشَملُهُ يَتَفَرّقُ
25,2,رَحْبٍ، تُلاقي الجُدْرَ منه ينابعٌ، وَتَرى السَّماءَ عليه كالأقمارِ
26,3,ينضو الحَيِيُّ الوَجْهِ ثَوْبَ حيائِه فيه، فيخطِرُ كالحُسامِ العاري
27,27,فَبَذَا كَمَا لَاحَ الصَّبَاحُ لِنَاظِرٍ مُتَأَلِّقًا يُعْشِي الْعُيُونَ صَقِيلُهُ
28,10,ويَزيدُني تَلَفًا فأذكُرُ فِعْلَهُ كالمِسكِ تَسحقُهُ الأكفُّ فيَعبَقُ
29,18,وَسرَيتُ في لَيلٍ كأنّ نُجومَهُ من فَرْطِ غَيرَتِها إليّ تُحَدِّقُ
30,28,تَبَرَّأ مِنْ خِلَافَتِهِ، وَوَلَّى كأَنَّ العَبْدَ يَرْكُضُ في رِهَانِ
31,25,وقد شَرِقَتْ جِبَالُ ((الطِّيبِ)) مِنْهُمْ بِيَوْمٍ مِثْلِ يَوْمِ ((النَّهْرَوَانِ))
32,3,والمنايا كالأُسْدِ تَفْتَرِسُ الأحْـ ـيَاءَ جَمْعًا ولا تَعافُ الكَلِيبا
33,4,مِثْلَ ما قِيل في جَريرٍ أخِي القَوْ لِ يَصيدُ الكُرْكِيَّ والعَنْدَلِيبا
34,9,والْفَتَى كاسْمِهِ المُصَرِّفِ هذا الْـ ـجِسْمَ يَلْقى التَغْيِيرَ والتَّقْليبا
35,15,وكم قائلٍ قد قال لي متمثِّلًا ليوهِنَ مني أو يشدَّ قوى متني:
36,28,كأني وقد فارقتُ دارًا وبَلْدَةً تحلُّهُمَا أُخْرِجْتُ من جَنَّتَيْ عَدن
37,30,أتذكُرُ أيَّامًا بها ولياليًا محاسنُها كالروضِ في صُبْحَةِ الدَّجن؟
38,31,عهودٌ خَلَتْ محمودةً وكأنَّها مُعانَقَةُ اللَّذاتِ في حُلَّة الأمن
39,5,فقام يخال الشَّمْسَ لمّا ترجّلتْ فنادَى: الصَّبوحَ! وهْي قد كربتْ تخبو
40,16,أَغَرُّ كَبَارِقِ الغَيْثِ الْمُرَجَّى يُحَبَّبُ في الأَبَاعِدِ والأَدَانِي
41,3,مضَى أَهْلُكَ الأَخْيَارُ إِلَّا أَقلَّهُمْ وبادُوا كما بادَتْ أَوَائلُ ((جُرْهُمِ))
42,4,فَصِرْتَ كَعُشٍّ خَلَّفَتْهُ فِرَاخُهُ بِعلْيَاءِ فَرْعِ الْأَثْلَةِ المُتهَشِّمِ
43,8,قُبُورٌ بأَطْرَافِ الثُّغُورِ كأَنما مَواقِعُها مِنْهَا مَوَاقِعُ أَنْجُمِ
44,19,لَرُدَّتْ بَهْجَةُ الدُّنْيَا إلَيْهَا وعادَ كَعَهْدِهِ حُسْنُ الزَّمَانِ
45,20,وإن كان أَسْرُ العاشقين كما أرى فيا ربِّ لا تُنقِذ مُحبّا من الأسر
46,10,وبيضاءَ كالسمراءِ لينا وقامةً ولم أر غيري شَبَّه البيض بالسمر
47,11,أيْنَ لَا أيْنَ مِثْلُهَا مُصْطَفَاةً مِنْ صَفَايَا المُلُوكِ وَالوزَرَاءِ
48,3,وكم نِسوةٍ رَبَّيْنَ كالنَّخلِ فِتيةٌ فَحُزْنَ بما أمْكنَّ من ولَدٍ حُزْنا
49,12,أيْنَ لَا أَيْنَ مِثْلُهَا مُقْتَنَاةً عِنْدَ حَالَيْنِ شِدَّةٍ أوْ رَخَاءِ
50,13,أيْنَ لَا أَيْنَ مِثْلُهَا لِجَمِيعٍ أغْنِيَاءٍ فِي النّاسِ أوْ فُقَرَاءِ
51,32,وَتَخَالَ الشخُوبَ وَقْعَ الشّآبِيـ ـبِ إذَا مَا قَرَعْن قَعْرَ الإنَاءِ
52,33,وَلَهَا صَرَّةٌ دَرُورٌ كَمَا دَرَّ سَحَابٌ بِدِيمَةٍ هَطْلَاءِ
53,7,تلاعب الحُبُّ بقَلْبي كما تلاعب السِنَّوْرُ بالفارَهْ
54,21,وَجُفُونُهُ ما تَسْتَقِرُّ كأنَّها مَطْرُوفَةٌ أوْ فُتَّ فيها حِصْرِمُ
55,22,وَإذا أشارَ مُحَدّثًا فَكأنَّهُ قرْدٌ يُقَهْقِهُ أوْ عَجُوزٌ تَلْطِمُ
