رقم,الاسم بالعربية,الاسم بالإنجليزية,الشرح بالعربية,explanation in English
1,استعارة,Metaphor / Analogy based on metaphor (istiʿārah tamthīliyyah),هي استعارة تأتي في جملة كاملة لا يكتمل معناها المجازي إلا بجميع أجزائها بحيث يؤدي حذف أي جزء إلى تغيير المعنى المقصود.,"It is a full metaphorical sentence whose figurative meaning depends on all its components, and removing any part significantly alters the intended meaning."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
8,اشتقاق,Derivation (ishtiqāq),هو تكوين كلمات متعددة من جذر واحد بحيث ترتبط معانيها ببعضها دلاليًا.,"It is the formation of multiple words from a single root, resulting in terms that share related or connected meanings."
9,التفات,Redirection (iltifāt),هو تغيير الضمائر مع بقاء المرجع واحدًا لإحداث تنويع بلاغي في الخطاب.,It is the shift of pronouns while referring to the same entity to create rhetorical variation in the discourse.
10,تجريد,Branching (tajrīd),هو أن يخاطب الشاعر نفسه بضمير المخاطب بدلًا من المتكلم لإبراز المعنى بطريقة بلاغية.,It is when the poet addresses himself using the second-person pronoun instead of the first to create a rhetorical effect.
11,ترديد,Repetition (tardīd),هو تكرار كلمة بمعناها نفسه مع إسنادها في كل مرة إلى فاعل أو مفعول مختلف لتأكيد المعنى.,It is repeating a word with the same meaning while assigning it each time to a different grammatical subject or object to reinforce the meaning.
12,تشبيه,Simile (tashbīh),هو ربط بين شيئين لإبراز وجه الشبه بينهما بأداة أو بدون أداة.,"It is the comparison of two elements to highlight a shared quality, with or without an explicit marker."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
24,تقسيم,Division (taqsīm),هو أسلوب يُعالج أغلب أجزاء الموضوع بذكر عناصره المتعددة ضمن سياق واحد لإحاطة المعنى من جوانبه المختلفة.,It is a device that covers most components of a subject by mentioning its different aspects within the same context to present a comprehensive view.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
33,جناس,Incomplete paronomasia (jinās nāqiṣ),هو تجانس لفظي بين كلمتين تختلفان في عدد الحروف مع تطابق باقي الحروف في النطق والترتيب.,"It is a paronomasia where the two words differ in at least one letter, while the remaining letters match in order and pronunciation."
,,,,
35,ردّ الأعجاز على الصدور,Echo / echoing the rhyme at the beginning of the line (radd al-aʿjāz ʿalā al-ṣudūr),هو إعادة الكلمة الأخيرة من البيت في بدايته أو في صدر الشطر التالي بشكل تام أو بصيغة من جذرها لخلق ترابط صوتي.,"It is repeating the final word of a verse at the beginning of the next hemistich or verse, either fully or through a related form, to create sound cohesion."
36,طباق,Antithesis (ṭibāq),هو الجمع بين كلمتين تحملان معنيين متضادين لإبراز التناقض في المعنى.,It is the use of two words with opposite meanings to highlight contrast.
,,,,
,,,,
,,,,
,,,,
41,كناية,Periphrasis (kināyah),هي عبارة تُستخدم للدلالة على معنى آخر مرتبط بها دلالة غير مباشرة مع بقاء العلاقة الواقعية بين اللفظ والمعنى المقصود.,It is a phrase used to suggest another meaning indirectly while maintaining a real associative relationship between the expression and the intended meaning.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
48,مبالغة,Hyperbole (mubālaghah),هي وصف يعتمد على تضخيم المعنى أو المبالغة فيه بما يتجاوز الحقيقة لإحداث تأثير بلاغي.,It is a description that intentionally exaggerates beyond reality to create a rhetorical impact.
49,مجاز,Intellectual trope (majāz ʿaqlī),هو إسناد الفعل لغير صاحبه الحقيقي داخل الجملة لإيصال معنى بلاغي عبر النقل الذهني.,It is attributing an action to something other than its real doer in the sentence to create a rhetorical mental shift.
,,,,
51,مقابلة,Multiple contrast (muqābalat taḍādd),هو تقابل تقوم فيه كل كلمة في جملة بمخالفة كلمة مقابلة لها في جملة أخرى لإبراز التضاد.,It is an antithesis where each word in one sentence contrasts with a corresponding word in another sentence.
